temporada,producto,id_producto,id_ciudad,ciudad,unidades_vendidas,evento,fecha
invierno,refresco,1,5,el_salto,98,0,03/01/2024
invierno,refresco,1,6,tlajomulco,95,0,03/01/2024
invierno,agua,2,1,zapopan,87,0,04/01/2024
invierno,agua,2,2,guadalajara,90,0,04/01/2024
invierno,agua,2,3,tonala,102,0,04/01/2024
invierno,agua,2,4,tlaquepaque,89,0,04/01/2024
invierno,agua,2,5,el_salto,79,0,04/01/2024
invierno,agua,2,6,tlajomulco,77,0,04/01/2024
invierno,bebida_energizante,4,1,zapopan,23,0,04/01/2024
invierno,bebida_energizante,4,2,guadalajara,37,0,04/01/2024
invierno,bebida_energizante,4,3,tonala,33,0,04/01/2024
invierno,bebida_energizante,4,4,tlaquepaque,30,0,04/01/2024
invierno,bebida_energizante,4,5,el_salto,9,0,04/01/2024
invierno,bebida_energizante,4,6,tlajomulco,32,0,04/01/2024
invierno,jugo,3,1,zapopan,40,0,04/01/2024
invierno,jugo,3,2,guadalajara,42,0,04/01/2024
invierno,jugo,3,3,tonala,36,0,04/01/2024
invierno,jugo,3,4,tlaquepaque,64,0,04/01/2024
invierno,jugo,3,5,el_salto,44,0,04/01/2024
invierno,jugo,3,6,tlajomulco,61,0,04/01/2024
invierno,refresco,1,1,zapopan,102,0,04/01/2024
invierno,refresco,1,2,guadalajara,112,0,04/01/2024
invierno,refresco,1,3,tonala,116,0,04/01/2024
invierno,refresco,1,4,tlaquepaque,110,0,04/01/2024
invierno,refresco,1,5,el_salto,97,0,04/01/2024
invierno,refresco,1,6,tlajomulco,103,0,04/01/2024
invierno,agua,2,1,zapopan,87,0,05/01/2024
invierno,agua,2,2,guadalajara,93,0,05/01/2024
invierno,agua,2,3,tonala,83,0,05/01/2024
invierno,agua,2,4,tlaquepaque,64,0,05/01/2024
invierno,agua,2,5,el_salto,78,0,05/01/2024
invierno,agua,2,6,tlajomulco,85,0,05/01/2024
invierno,bebida_energizante,4,1,zapopan,38,0,05/01/2024
invierno,bebida_energizante,4,2,guadalajara,36,0,05/01/2024
invierno,bebida_energizante,4,3,tonala,22,0,05/01/2024
invierno,bebida_energizante,4,4,tlaquepaque,41,0,05/01/2024
invierno,bebida_energizante,4,5,el_salto,26,0,05/01/2024
invierno,bebida_energizante,4,6,tlajomulco,30,0,05/01/2024
invierno,jugo,3,1,zapopan,62,0,05/01/2024
invierno,jugo,3,2,guadalajara,49,0,05/01/2024
invierno,jugo,3,3,tonala,46,0,05/01/2024
invierno,jugo,3,4,tlaquepaque,51,0,05/01/2024
invierno,jugo,3,5,el_salto,73,0,05/01/2024
invierno,jugo,3,6,tlajomulco,31,0,05/01/2024
invierno,refresco,1,1,zapopan,95,0,05/01/2024
invierno,refresco,1,2,guadalajara,111,0,05/01/2024
invierno,refresco,1,3,tonala,116,0,05/01/2024
invierno,refresco,1,4,tlaquepaque,103,0,05/01/2024
invierno,refresco,1,5,el_salto,105,0,05/01/2024
invierno,refresco,1,6,tlajomulco,104,0,05/01/2024
invierno,agua,2,1,zapopan,77,0,06/01/2024
invierno,agua,2,2,guadalajara,76,0,06/01/2024
invierno,agua,2,3,tonala,89,0,06/01/2024
invierno,agua,2,4,tlaquepaque,86,0,06/01/2024
invierno,agua,2,5,el_salto,84,0,06/01/2024
invierno,agua,2,6,tlajomulco,82,0,06/01/2024
invierno,bebida_energizante,4,1,zapopan,16,0,06/01/2024
invierno,bebida_energizante,4,2,guadalajara,27,0,06/01/2024
invierno,bebida_energizante,4,3,tonala,30,0,06/01/2024
invierno,bebida_energizante,4,4,tlaquepaque,33,0,06/01/2024
invierno,bebida_energizante,4,5,el_salto,23,0,06/01/2024
invierno,bebida_energizante,4,6,tlajomulco,25,0,06/01/2024
invierno,jugo,3,1,zapopan,27,0,06/01/2024
invierno,jugo,3,2,guadalajara,48,0,06/01/2024
invierno,jugo,3,3,tonala,42,0,06/01/2024
invierno,jugo,3,4,tlaquepaque,45,0,06/01/2024
invierno,jugo,3,5,el_salto,57,0,06/01/2024
invierno,jugo,3,6,tlajomulco,56,0,06/01/2024
invierno,refresco,1,1,zapopan,110,0,06/01/2024
invierno,refresco,1,2,guadalajara,91,0,06/01/2024
invierno,refresco,1,3,tonala,110,0,06/01/2024
invierno,refresco,1,4,tlaquepaque,97,0,06/01/2024
invierno,refresco,1,5,el_salto,105,0,06/01/2024
invierno,refresco,1,6,tlajomulco,92,0,06/01/2024
invierno,agua,2,1,zapopan,81,0,07/01/2024
invierno,agua,2,2,guadalajara,59,0,07/01/2024
invierno,agua,2,3,tonala,84,0,07/01/2024
invierno,agua,2,4,tlaquepaque,58,0,07/01/2024
invierno,agua,2,5,el_salto,73,0,07/01/2024
invierno,agua,2,6,tlajomulco,57,0,07/01/2024
invierno,bebida_energizante,4,1,zapopan,31,0,07/01/2024
invierno,bebida_energizante,4,2,guadalajara,25,0,07/01/2024
invierno,bebida_energizante,4,3,tonala,44,0,07/01/2024
invierno,bebida_energizante,4,4,tlaquepaque,18,0,07/01/2024
invierno,bebida_energizante,4,5,el_salto,13,0,07/01/2024
invierno,bebida_energizante,4,6,tlajomulco,41,0,07/01/2024
invierno,jugo,3,1,zapopan,44,0,07/01/2024
invierno,jugo,3,2,guadalajara,45,0,07/01/2024
invierno,jugo,3,3,tonala,61,0,07/01/2024
invierno,jugo,3,4,tlaquepaque,53,0,07/01/2024
invierno,jugo,3,5,el_salto,32,0,07/01/2024
invierno,jugo,3,6,tlajomulco,47,0,07/01/2024
invierno,refresco,1,1,zapopan,107,0,07/01/2024
invierno,refresco,1,2,guadalajara,109,0,07/01/2024
invierno,refresco,1,3,tonala,94,0,07/01/2024
invierno,refresco,1,4,tlaquepaque,95,0,07/01/2024
invierno,refresco,1,5,el_salto,103,0,07/01/2024
invierno,refresco,1,6,tlajomulco,110,0,07/01/2024
invierno,agua,2,1,zapopan,96,0,08/01/2024
invierno,agua,2,2,guadalajara,83,0,08/01/2024
invierno,agua,2,3,tonala,94,0,08/01/2024
invierno,agua,2,4,tlaquepaque,94,0,08/01/2024
invierno,agua,2,5,el_salto,97,0,08/01/2024
invierno,agua,2,6,tlajomulco,75,0,08/01/2024
invierno,bebida_energizante,4,1,zapopan,22,0,08/01/2024
invierno,bebida_energizante,4,2,guadalajara,48,0,08/01/2024
invierno,bebida_energizante,4,3,tonala,31,0,08/01/2024
invierno,bebida_energizante,4,4,tlaquepaque,33,0,08/01/2024
invierno,bebida_energizante,4,5,el_salto,31,0,08/01/2024
invierno,bebida_energizante,4,6,tlajomulco,42,0,08/01/2024
invierno,jugo,3,1,zapopan,53,0,08/01/2024
invierno,jugo,3,2,guadalajara,61,0,08/01/2024
invierno,jugo,3,3,tonala,39,0,08/01/2024
invierno,jugo,3,4,tlaquepaque,46,0,08/01/2024
invierno,jugo,3,5,el_salto,58,0,08/01/2024
invierno,jugo,3,6,tlajomulco,46,0,08/01/2024
invierno,refresco,1,1,zapopan,121,0,08/01/2024
invierno,refresco,1,2,guadalajara,113,0,08/01/2024
invierno,refresco,1,3,tonala,111,0,08/01/2024
invierno,refresco,1,4,tlaquepaque,93,0,08/01/2024
invierno,refresco,1,5,el_salto,100,0,08/01/2024
invierno,refresco,1,6,tlajomulco,115,0,08/01/2024
invierno,agua,2,1,zapopan,87,0,09/01/2024
invierno,agua,2,2,guadalajara,78,0,09/01/2024
invierno,agua,2,3,tonala,90,0,09/01/2024
invierno,agua,2,4,tlaquepaque,81,0,09/01/2024
invierno,agua,2,5,el_salto,65,0,09/01/2024
invierno,agua,2,6,tlajomulco,85,0,09/01/2024
invierno,bebida_energizante,4,1,zapopan,24,0,09/01/2024
invierno,bebida_energizante,4,2,guadalajara,19,0,09/01/2024
invierno,bebida_energizante,4,3,tonala,30,0,09/01/2024
invierno,bebida_energizante,4,4,tlaquepaque,24,0,09/01/2024
invierno,bebida_energizante,4,5,el_salto,29,0,09/01/2024
invierno,bebida_energizante,4,6,tlajomulco,44,0,09/01/2024
invierno,jugo,3,1,zapopan,60,0,09/01/2024
invierno,jugo,3,2,guadalajara,24,0,09/01/2024
invierno,jugo,3,3,tonala,49,0,09/01/2024
invierno,jugo,3,4,tlaquepaque,74,0,09/01/2024
invierno,jugo,3,5,el_salto,33,0,09/01/2024
invierno,jugo,3,6,tlajomulco,50,0,09/01/2024
invierno,refresco,1,1,zapopan,101,0,09/01/2024
invierno,refresco,1,2,guadalajara,92,0,09/01/2024
invierno,refresco,1,3,tonala,107,0,09/01/2024
invierno,refresco,1,4,tlaquepaque,119,0,09/01/2024
invierno,refresco,1,5,el_salto,110,0,09/01/2024
invierno,refresco,1,6,tlajomulco,99,0,09/01/2024
invierno,agua,2,1,zapopan,97,0,10/01/2024
invierno,agua,2,2,guadalajara,97,0,10/01/2024
invierno,agua,2,3,tonala,99,0,10/01/2024
invierno,agua,2,4,tlaquepaque,92,0,10/01/2024
invierno,agua,2,5,el_salto,67,0,10/01/2024
invierno,agua,2,6,tlajomulco,66,0,10/01/2024
invierno,bebida_energizante,4,1,zapopan,21,0,10/01/2024
invierno,bebida_energizante,4,2,guadalajara,31,0,10/01/2024
invierno,bebida_energizante,4,3,tonala,30,0,10/01/2024
invierno,bebida_energizante,4,4,tlaquepaque,32,0,10/01/2024
invierno,bebida_energizante,4,5,el_salto,14,0,10/01/2024
invierno,bebida_energizante,4,6,tlajomulco,29,0,10/01/2024
invierno,jugo,3,1,zapopan,43,0,10/01/2024
invierno,jugo,3,2,guadalajara,33,0,10/01/2024
invierno,jugo,3,3,tonala,42,0,10/01/2024
invierno,jugo,3,4,tlaquepaque,55,0,10/01/2024
invierno,jugo,3,5,el_salto,54,0,10/01/2024
invierno,jugo,3,6,tlajomulco,37,0,10/01/2024
invierno,refresco,1,1,zapopan,86,0,10/01/2024
invierno,refresco,1,2,guadalajara,100,0,10/01/2024
invierno,refresco,1,3,tonala,100,0,10/01/2024
invierno,refresco,1,4,tlaquepaque,92,0,10/01/2024
invierno,refresco,1,5,el_salto,87,0,10/01/2024
invierno,refresco,1,6,tlajomulco,126,0,10/01/2024
invierno,agua,2,1,zapopan,75,0,11/01/2024
invierno,agua,2,2,guadalajara,90,0,11/01/2024
invierno,agua,2,3,tonala,85,0,11/01/2024
invierno,agua,2,4,tlaquepaque,71,0,11/01/2024
invierno,agua,2,5,el_salto,101,0,11/01/2024
invierno,agua,2,6,tlajomulco,97,0,11/01/2024
invierno,bebida_energizante,4,1,zapopan,34,0,11/01/2024
invierno,bebida_energizante,4,2,guadalajara,43,0,11/01/2024
invierno,bebida_energizante,4,3,tonala,47,0,11/01/2024
invierno,bebida_energizante,4,4,tlaquepaque,32,0,11/01/2024
invierno,bebida_energizante,4,5,el_salto,41,0,11/01/2024
invierno,bebida_energizante,4,6,tlajomulco,30,0,11/01/2024
invierno,jugo,3,1,zapopan,40,0,11/01/2024
invierno,jugo,3,2,guadalajara,47,0,11/01/2024
invierno,jugo,3,3,tonala,56,0,11/01/2024
invierno,jugo,3,4,tlaquepaque,32,0,11/01/2024
invierno,jugo,3,5,el_salto,66,0,11/01/2024
invierno,jugo,3,6,tlajomulco,46,0,11/01/2024
invierno,refresco,1,1,zapopan,110,0,11/01/2024
invierno,refresco,1,2,guadalajara,97,0,11/01/2024
invierno,refresco,1,3,tonala,108,0,11/01/2024
invierno,refresco,1,4,tlaquepaque,104,0,11/01/2024
invierno,refresco,1,5,el_salto,99,0,11/01/2024
invierno,refresco,1,6,tlajomulco,105,0,11/01/2024
invierno,agua,2,1,zapopan,73,0,12/01/2024
invierno,agua,2,2,guadalajara,99,0,12/01/2024
invierno,agua,2,3,tonala,92,0,12/01/2024
invierno,agua,2,4,tlaquepaque,92,0,12/01/2024
invierno,agua,2,5,el_salto,92,0,12/01/2024
invierno,agua,2,6,tlajomulco,87,0,12/01/2024
invierno,bebida_energizante,4,1,zapopan,34,0,12/01/2024
invierno,bebida_energizante,4,2,guadalajara,39,0,12/01/2024
invierno,bebida_energizante,4,3,tonala,34,0,12/01/2024
invierno,bebida_energizante,4,4,tlaquepaque,34,0,12/01/2024
invierno,bebida_energizante,4,5,el_salto,42,0,12/01/2024
invierno,bebida_energizante,4,6,tlajomulco,39,0,12/01/2024
invierno,jugo,3,1,zapopan,46,0,12/01/2024
invierno,jugo,3,2,guadalajara,57,0,12/01/2024
invierno,jugo,3,3,tonala,35,0,12/01/2024
invierno,jugo,3,4,tlaquepaque,38,0,12/01/2024
invierno,jugo,3,5,el_salto,56,0,12/01/2024
invierno,jugo,3,6,tlajomulco,58,0,12/01/2024
invierno,refresco,1,1,zapopan,111,0,12/01/2024
invierno,refresco,1,2,guadalajara,105,0,12/01/2024
invierno,refresco,1,3,tonala,115,0,12/01/2024
invierno,refresco,1,4,tlaquepaque,87,0,12/01/2024
invierno,refresco,1,5,el_salto,83,0,12/01/2024
invierno,refresco,1,6,tlajomulco,99,0,12/01/2024
invierno,agua,2,1,zapopan,85,0,13/01/2024
invierno,agua,2,2,guadalajara,77,0,13/01/2024
invierno,agua,2,3,tonala,97,0,13/01/2024
invierno,agua,2,4,tlaquepaque,85,0,13/01/2024
invierno,agua,2,5,el_salto,88,0,13/01/2024
invierno,agua,2,6,tlajomulco,77,0,13/01/2024
invierno,bebida_energizante,4,1,zapopan,36,0,13/01/2024
invierno,bebida_energizante,4,2,guadalajara,33,0,13/01/2024
invierno,bebida_energizante,4,3,tonala,26,0,13/01/2024
invierno,bebida_energizante,4,4,tlaquepaque,43,0,13/01/2024
invierno,bebida_energizante,4,5,el_salto,26,0,13/01/2024
invierno,bebida_energizante,4,6,tlajomulco,47,0,13/01/2024
invierno,jugo,3,1,zapopan,71,0,13/01/2024
invierno,jugo,3,2,guadalajara,33,0,13/01/2024
invierno,jugo,3,3,tonala,53,0,13/01/2024
invierno,jugo,3,4,tlaquepaque,63,0,13/01/2024
invierno,jugo,3,5,el_salto,34,0,13/01/2024
invierno,jugo,3,6,tlajomulco,43,0,13/01/2024
invierno,refresco,1,1,zapopan,99,0,13/01/2024
invierno,refresco,1,2,guadalajara,117,0,13/01/2024
invierno,refresco,1,3,tonala,101,0,13/01/2024
invierno,refresco,1,4,tlaquepaque,101,0,13/01/2024
invierno,refresco,1,5,el_salto,112,0,13/01/2024
invierno,refresco,1,6,tlajomulco,95,0,13/01/2024
invierno,agua,2,1,zapopan,89,0,14/01/2024
invierno,agua,2,2,guadalajara,89,0,14/01/2024
invierno,agua,2,3,tonala,89,0,14/01/2024
invierno,agua,2,4,tlaquepaque,90,0,14/01/2024
invierno,agua,2,5,el_salto,72,0,14/01/2024
invierno,agua,2,6,tlajomulco,85,0,14/01/2024
invierno,bebida_energizante,4,1,zapopan,45,0,14/01/2024
invierno,bebida_energizante,4,2,guadalajara,46,0,14/01/2024
invierno,bebida_energizante,4,3,tonala,33,0,14/01/2024
invierno,bebida_energizante,4,4,tlaquepaque,23,0,14/01/2024
invierno,bebida_energizante,4,5,el_salto,19,0,14/01/2024
invierno,bebida_energizante,4,6,tlajomulco,41,0,14/01/2024
invierno,jugo,3,1,zapopan,57,0,14/01/2024
invierno,jugo,3,2,guadalajara,53,0,14/01/2024
invierno,jugo,3,3,tonala,38,0,14/01/2024
invierno,jugo,3,4,tlaquepaque,65,0,14/01/2024
invierno,jugo,3,5,el_salto,39,0,14/01/2024
invierno,jugo,3,6,tlajomulco,35,0,14/01/2024
invierno,refresco,1,1,zapopan,100,0,14/01/2024
invierno,refresco,1,2,guadalajara,99,0,14/01/2024
invierno,refresco,1,3,tonala,91,0,14/01/2024
invierno,refresco,1,4,tlaquepaque,109,0,14/01/2024
invierno,refresco,1,5,el_salto,102,0,14/01/2024
invierno,refresco,1,6,tlajomulco,85,0,14/01/2024
invierno,agua,2,1,zapopan,95,0,15/01/2024
invierno,agua,2,2,guadalajara,66,0,15/01/2024
invierno,agua,2,3,tonala,99,0,15/01/2024
invierno,agua,2,4,tlaquepaque,100,0,15/01/2024
invierno,agua,2,5,el_salto,81,0,15/01/2024
invierno,agua,2,6,tlajomulco,86,0,15/01/2024
invierno,bebida_energizante,4,1,zapopan,36,0,15/01/2024
invierno,bebida_energizante,4,2,guadalajara,38,0,15/01/2024
invierno,bebida_energizante,4,3,tonala,19,0,15/01/2024
invierno,bebida_energizante,4,4,tlaquepaque,31,0,15/01/2024
invierno,bebida_energizante,4,5,el_salto,28,0,15/01/2024
invierno,bebida_energizante,4,6,tlajomulco,37,0,15/01/2024
invierno,jugo,3,1,zapopan,49,0,15/01/2024
invierno,jugo,3,2,guadalajara,35,0,15/01/2024
invierno,jugo,3,3,tonala,41,0,15/01/2024
invierno,jugo,3,4,tlaquepaque,49,0,15/01/2024
invierno,jugo,3,5,el_salto,61,0,15/01/2024
invierno,jugo,3,6,tlajomulco,57,0,15/01/2024
invierno,refresco,1,1,zapopan,81,0,15/01/2024
invierno,refresco,1,2,guadalajara,103,0,15/01/2024
invierno,refresco,1,3,tonala,109,0,15/01/2024
invierno,refresco,1,4,tlaquepaque,99,0,15/01/2024
invierno,refresco,1,5,el_salto,91,0,15/01/2024
invierno,refresco,1,6,tlajomulco,108,0,15/01/2024
invierno,agua,2,1,zapopan,85,0,16/01/2024
invierno,agua,2,2,guadalajara,64,0,16/01/2024
invierno,agua,2,3,tonala,89,0,16/01/2024
invierno,agua,2,4,tlaquepaque,89,0,16/01/2024
invierno,agua,2,5,el_salto,56,0,16/01/2024
invierno,agua,2,6,tlajomulco,79,0,16/01/2024
invierno,bebida_energizante,4,1,zapopan,25,0,16/01/2024
invierno,bebida_energizante,4,2,guadalajara,57,0,16/01/2024
invierno,bebida_energizante,4,3,tonala,25,0,16/01/2024
invierno,bebida_energizante,4,4,tlaquepaque,27,0,16/01/2024
invierno,bebida_energizante,4,5,el_salto,42,0,16/01/2024
invierno,bebida_energizante,4,6,tlajomulco,36,0,16/01/2024
invierno,jugo,3,1,zapopan,52,0,16/01/2024
invierno,jugo,3,2,guadalajara,34,0,16/01/2024
invierno,jugo,3,3,tonala,43,0,16/01/2024
invierno,jugo,3,4,tlaquepaque,47,0,16/01/2024
invierno,jugo,3,5,el_salto,41,0,16/01/2024
invierno,jugo,3,6,tlajomulco,43,0,16/01/2024
invierno,refresco,1,1,zapopan,104,0,16/01/2024
invierno,refresco,1,2,guadalajara,104,0,16/01/2024
invierno,refresco,1,3,tonala,106,0,16/01/2024
invierno,refresco,1,4,tlaquepaque,107,0,16/01/2024
invierno,refresco,1,5,el_salto,100,0,16/01/2024
invierno,refresco,1,6,tlajomulco,99,0,16/01/2024
invierno,agua,2,1,zapopan,83,0,17/01/2024
invierno,agua,2,2,guadalajara,76,0,17/01/2024
invierno,agua,2,3,tonala,85,0,17/01/2024
invierno,agua,2,4,tlaquepaque,78,0,17/01/2024
invierno,agua,2,5,el_salto,82,0,17/01/2024
invierno,agua,2,6,tlajomulco,93,0,17/01/2024
invierno,bebida_energizante,4,1,zapopan,38,0,17/01/2024
invierno,bebida_energizante,4,2,guadalajara,23,0,17/01/2024
invierno,bebida_energizante,4,3,tonala,19,0,17/01/2024
invierno,bebida_energizante,4,4,tlaquepaque,19,0,17/01/2024
invierno,bebida_energizante,4,5,el_salto,24,0,17/01/2024
invierno,bebida_energizante,4,6,tlajomulco,37,0,17/01/2024
invierno,jugo,3,1,zapopan,60,0,17/01/2024
invierno,jugo,3,2,guadalajara,67,0,17/01/2024
invierno,jugo,3,3,tonala,63,0,17/01/2024
invierno,jugo,3,4,tlaquepaque,66,0,17/01/2024
invierno,jugo,3,5,el_salto,54,0,17/01/2024
invierno,jugo,3,6,tlajomulco,56,0,17/01/2024
invierno,refresco,1,1,zapopan,95,0,17/01/2024
invierno,refresco,1,2,guadalajara,110,0,17/01/2024
invierno,refresco,1,3,tonala,87,0,17/01/2024
invierno,refresco,1,4,tlaquepaque,90,0,17/01/2024
invierno,refresco,1,5,el_salto,109,0,17/01/2024
invierno,refresco,1,6,tlajomulco,119,0,17/01/2024
invierno,agua,2,1,zapopan,69,0,18/01/2024
invierno,agua,2,2,guadalajara,90,0,18/01/2024
invierno,agua,2,3,tonala,75,0,18/01/2024
invierno,agua,2,4,tlaquepaque,82,0,18/01/2024
invierno,agua,2,5,el_salto,58,0,18/01/2024
invierno,agua,2,6,tlajomulco,63,0,18/01/2024
invierno,bebida_energizante,4,1,zapopan,31,0,18/01/2024
invierno,bebida_energizante,4,2,guadalajara,28,0,18/01/2024
invierno,bebida_energizante,4,3,tonala,15,0,18/01/2024
invierno,bebida_energizante,4,4,tlaquepaque,18,0,18/01/2024
invierno,bebida_energizante,4,5,el_salto,30,0,18/01/2024
invierno,bebida_energizante,4,6,tlajomulco,30,0,18/01/2024
invierno,jugo,3,1,zapopan,50,0,18/01/2024
invierno,jugo,3,2,guadalajara,50,0,18/01/2024
invierno,jugo,3,3,tonala,51,0,18/01/2024
invierno,jugo,3,4,tlaquepaque,63,0,18/01/2024
invierno,jugo,3,5,el_salto,50,0,18/01/2024
invierno,jugo,3,6,tlajomulco,40,0,18/01/2024
invierno,refresco,1,1,zapopan,123,0,18/01/2024
invierno,refresco,1,2,guadalajara,106,0,18/01/2024
invierno,refresco,1,3,tonala,89,0,18/01/2024
invierno,refresco,1,4,tlaquepaque,84,0,18/01/2024
invierno,refresco,1,5,el_salto,97,0,18/01/2024
invierno,refresco,1,6,tlajomulco,92,0,18/01/2024
invierno,agua,2,1,zapopan,91,0,19/01/2024
invierno,agua,2,2,guadalajara,85,0,19/01/2024
invierno,agua,2,3,tonala,66,0,19/01/2024
invierno,agua,2,4,tlaquepaque,85,0,19/01/2024
invierno,agua,2,5,el_salto,95,0,19/01/2024
invierno,agua,2,6,tlajomulco,82,0,19/01/2024
invierno,bebida_energizante,4,1,zapopan,22,0,19/01/2024
invierno,bebida_energizante,4,2,guadalajara,29,0,19/01/2024
invierno,bebida_energizante,4,3,tonala,39,0,19/01/2024
invierno,bebida_energizante,4,4,tlaquepaque,23,0,19/01/2024
invierno,bebida_energizante,4,5,el_salto,22,0,19/01/2024
invierno,bebida_energizante,4,6,tlajomulco,26,0,19/01/2024
invierno,jugo,3,1,zapopan,49,0,19/01/2024
invierno,jugo,3,2,guadalajara,63,0,19/01/2024
invierno,jugo,3,3,tonala,62,0,19/01/2024
invierno,jugo,3,4,tlaquepaque,44,0,19/01/2024
invierno,jugo,3,5,el_salto,40,0,19/01/2024
invierno,jugo,3,6,tlajomulco,54,0,19/01/2024
invierno,refresco,1,1,zapopan,86,0,19/01/2024
invierno,refresco,1,2,guadalajara,98,0,19/01/2024
invierno,refresco,1,3,tonala,121,0,19/01/2024
invierno,refresco,1,4,tlaquepaque,96,0,19/01/2024
invierno,refresco,1,5,el_salto,105,0,19/01/2024
invierno,refresco,1,6,tlajomulco,84,0,19/01/2024
invierno,agua,2,1,zapopan,70,0,20/01/2024
invierno,agua,2,2,guadalajara,82,0,20/01/2024
invierno,agua,2,3,tonala,87,0,20/01/2024
invierno,agua,2,4,tlaquepaque,67,0,20/01/2024
invierno,agua,2,5,el_salto,82,0,20/01/2024
invierno,agua,2,6,tlajomulco,98,0,20/01/2024
invierno,bebida_energizante,4,1,zapopan,30,0,20/01/2024
invierno,bebida_energizante,4,2,guadalajara,58,0,20/01/2024
invierno,bebida_energizante,4,3,tonala,30,0,20/01/2024
invierno,bebida_energizante,4,4,tlaquepaque,31,0,20/01/2024
invierno,bebida_energizante,4,5,el_salto,53,0,20/01/2024
invierno,bebida_energizante,4,6,tlajomulco,40,0,20/01/2024
invierno,jugo,3,1,zapopan,46,0,20/01/2024
invierno,jugo,3,2,guadalajara,60,0,20/01/2024
